# Digitized from the vector graphics of Ellingsen et al. (2026, JFM 1029 A6; arXiv:2505.06891) figure 3(a), case 1.D
# k0z, U1 [m/s], U3 [m/s] (interpolated onto the U1 depth samples)
-1.20014, -0.337027, -0.334104
-1.19537, -0.337017, -0.334171
-1.18788, -0.337007, -0.334275
-1.18039, -0.337009, -0.334379
-1.17294, -0.337007, -0.334482
-1.15795, -0.336989, -0.334690
-1.15050, -0.336972, -0.334794
-1.14301, -0.336957, -0.334898
-1.13556, -0.336957, -0.335001
-1.12807, -0.336955, -0.335105
-1.12058, -0.336947, -0.335209
-1.11313, -0.336952, -0.335313
-1.10563, -0.336967, -0.335417
-1.09814, -0.336964, -0.335521
-1.09069, -0.336971, -0.335624
-1.08320, -0.336978, -0.335728
-1.07575, -0.336986, -0.335832
-1.06826, -0.337001, -0.335936
-1.06077, -0.336999, -0.336040
-1.05332, -0.336999, -0.336143
-1.04582, -0.337003, -0.336247
-1.03833, -0.337003, -0.336351
-1.03088, -0.337015, -0.336455
-1.02343, -0.337015, -0.336558
-1.01594, -0.337017, -0.336662
-1.00845, -0.337016, -0.336766
-1.00100, -0.337007, -0.336870
-0.99350, -0.337001, -0.336974
-0.98601, -0.336995, -0.337078
-0.97856, -0.336992, -0.337182
-0.97107, -0.337001, -0.337286
-0.96362, -0.336999, -0.337389
-0.95613, -0.336995, -0.337493
-0.94864, -0.336995, -0.337597
-0.94119, -0.337003, -0.337701
-0.93369, -0.337012, -0.337805
-0.92620, -0.337035, -0.337909
-0.91875, -0.337047, -0.338012
-0.91126, -0.337032, -0.338116
-0.90381, -0.337032, -0.338220
-0.89632, -0.337059, -0.338324
-0.88883, -0.337075, -0.338428
-0.88138, -0.337073, -0.338531
-0.87388, -0.337081, -0.338635
-0.86639, -0.337101, -0.338739
-0.85894, -0.337123, -0.338843
-0.85145, -0.337133, -0.338947
-0.84400, -0.337145, -0.339050
-0.83651, -0.337160, -0.339154
-0.82902, -0.337177, -0.339258
-0.82156, -0.337197, -0.339362
-0.81407, -0.337210, -0.339466
-0.80662, -0.337215, -0.339569
-0.79913, -0.337223, -0.339673
-0.79164, -0.337244, -0.339777
-0.78419, -0.337244, -0.339881
-0.77670, -0.337237, -0.339985
-0.76925, -0.337241, -0.340088
-0.76175, -0.337244, -0.340192
-0.75426, -0.337251, -0.340297
-0.74681, -0.337267, -0.340400
-0.73932, -0.337266, -0.340504
-0.73183, -0.337268, -0.340608
-0.72438, -0.337291, -0.340712
-0.71689, -0.337314, -0.340816
-0.70943, -0.337324, -0.340919
-0.70194, -0.337333, -0.341023
-0.69445, -0.337355, -0.341127
-0.68700, -0.337382, -0.341231
-0.67951, -0.337406, -0.341335
-0.67202, -0.337421, -0.341439
-0.66457, -0.337417, -0.341542
-0.65708, -0.337415, -0.336471
-0.64962, -0.337419, -0.336478
-0.64213, -0.337421, -0.336485
-0.63464, -0.337430, -0.336493
-0.62719, -0.337439, -0.336500
-0.61970, -0.337446, -0.336507
-0.61221, -0.337449, -0.336515
-0.60476, -0.337452, -0.336522
-0.59726, -0.337459, -0.336529
-0.58981, -0.337471, -0.336537
-0.58232, -0.337467, -0.336544
-0.57483, -0.337454, -0.336551
-0.56738, -0.337439, -0.336559
-0.55989, -0.337428, -0.336566
-0.55244, -0.337429, -0.336573
-0.54495, -0.337423, -0.336581
-0.53745, -0.337418, -0.336588
-0.53000, -0.337417, -0.336595
-0.52251, -0.337420, -0.336603
-0.51502, -0.337417, -0.336610
-0.50757, -0.337409, -0.336617
-0.50008, -0.337420, -0.336625
-0.49263, -0.337419, -0.336632
-0.48513, -0.337398, -0.336639
-0.47768, -0.337394, -0.336647
-0.47019, -0.337398, -0.336654
-0.46270, -0.337401, -0.336661
-0.45521, -0.337406, -0.336669
-0.44776, -0.337392, -0.336676
-0.44031, -0.337375, -0.336683
-0.43282, -0.337386, -0.336691
-0.42532, -0.337390, -0.336698
-0.41787, -0.337387, -0.336705
-0.41038, -0.337392, -0.336713
-0.40289, -0.337392, -0.336720
-0.39544, -0.337396, -0.336727
-0.38795, -0.337416, -0.336735
-0.38050, -0.337432, -0.336742
-0.37301, -0.337444, -0.336749
-0.36551, -0.337465, -0.336757
-0.35806, -0.337477, -0.336764
-0.35057, -0.337480, -0.336771
-0.34308, -0.337475, -0.336779
-0.33563, -0.337473, -0.336786
-0.32814, -0.337476, -0.336793
-0.32069, -0.337467, -0.336801
-0.31319, -0.337471, -0.336808
-0.30570, -0.337477, -0.336815
-0.29825, -0.337463, -0.336823
-0.29076, -0.337450, -0.336830
-0.28327, -0.337449, -0.336837
-0.27582, -0.337446, -0.336845
-0.26833, -0.337445, -0.336852
-0.26088, -0.337431, -0.336859
-0.25338, -0.337413, -0.336867
-0.24589, -0.337403, -0.336874
-0.23844, -0.337399, -0.336881
-0.23095, -0.337382, -0.336888
-0.22346, -0.337367, -0.336896
-0.21601, -0.337358, -0.336903
-0.20852, -0.337340, -0.336910
-0.20106, -0.337314, -0.336918
-0.19357, -0.337307, -0.336925
-0.18612, -0.337298, -0.336932
-0.17863, -0.337273, -0.336940
-0.17114, -0.337262, -0.336947
-0.16369, -0.337251, -0.336954
-0.15620, -0.337224, -0.336962
-0.14871, -0.337200, -0.336969
-0.14125, -0.337186, -0.336976
-0.13376, -0.337159, -0.336984
-0.12631, -0.337131, -0.336991
-0.11882, -0.337109, -0.336998
-0.11133, -0.337084, -0.337006
-0.10388, -0.337049, -0.337013
