# Digitized from the vector graphics of Ellingsen et al. (2026, JFM 1029 A6; arXiv:2505.06891) figure 3(b): dU = U3 - U1 [mm/s] against k0z
# case, k0z, dU [mm/s]
1.A, -1.20014, 0.3754
1.A, -1.19829, 0.3807
1.A, -1.19036, 0.4114
1.A, -1.18239, 0.4521
1.A, -1.17442, 0.4895
1.A, -1.16645, 0.5243
1.A, -1.15847, 0.5516
1.A, -1.15050, 0.5536
1.A, -1.14253, 0.5757
1.A, -1.13456, 0.6224
1.A, -1.12659, 0.6651
1.A, -1.11861, 0.6765
1.A, -1.11068, 0.6938
1.A, -1.10267, 0.7165
1.A, -1.09474, 0.7399
1.A, -1.08677, 0.7606
1.A, -1.07879, 0.7973
1.A, -1.07082, 0.8120
1.A, -1.06285, 0.8260
1.A, -1.05488, 0.8567
1.A, -1.04691, 0.8868
1.A, -1.03893, 0.9081
1.A, -1.03096, 0.9155
1.A, -1.02299, 0.9188
1.A, -1.01502, 0.9475
1.A, -1.00709, 0.9696
1.A, -0.99907, 0.9549
1.A, -0.99114, 0.9428
1.A, -0.98317, 0.9629
1.A, -0.97520, 0.9729
1.A, -0.96723, 0.9702
1.A, -0.95925, 0.9682
1.A, -0.95128, 0.9816
1.A, -0.94331, 0.9902
1.A, -0.93534, 0.9822
1.A, -0.92740, 0.9736
1.A, -0.91939, 0.9609
1.A, -0.91146, 0.9549
1.A, -0.90345, 0.9629
1.A, -0.89552, 0.9729
1.A, -0.88754, 0.9629
1.A, -0.87957, 0.9368
1.A, -0.87160, 0.9282
1.A, -0.86363, 0.9322
1.A, -0.85566, 0.9355
1.A, -0.84768, 0.9442
1.A, -0.83971, 0.9495
1.A, -0.83174, 0.9515
1.A, -0.82377, 0.9268
1.A, -0.81580, 0.9275
1.A, -0.80786, 0.9335
1.A, -0.79989, 0.9495
1.A, -0.79192, 0.9769
1.A, -0.78395, 0.9722
1.A, -0.77598, 0.9549
1.A, -0.76800, 0.9395
1.A, -0.76003, 0.9435
1.A, -0.75206, 0.9395
1.A, -0.74409, 0.9181
1.A, -0.73612, 0.9148
1.A, -0.72818, 0.9101
1.A, -0.72017, 0.9088
1.A, -0.71224, 0.9055
1.A, -0.70427, 0.9175
1.A, -0.69629, 0.9315
1.A, -0.68832, 0.9201
1.A, -0.68035, 0.9108
1.A, -0.67238, 0.9048
1.A, -0.66441, 0.9048
1.A, -0.65643, 0.8901
1.A, -0.64846, 0.8881
1.A, -0.64049, 0.8914
1.A, -0.63252, 0.8754
1.A, -0.62455, 0.8701
1.A, -0.61661, 0.8561
1.A, -0.60864, 0.8340
1.A, -0.60067, 0.8267
1.A, -0.59270, 0.8287
1.A, -0.58473, 0.8227
1.A, -0.57675, 0.7993
1.A, -0.56878, 0.7813
1.A, -0.56081, 0.7619
1.A, -0.55284, 0.7432
1.A, -0.54487, 0.7199
1.A, -0.53689, 0.6985
1.A, -0.52896, 0.6624
1.A, -0.52095, 0.6304
1.A, -0.51302, 0.6130
1.A, -0.50505, 0.6057
1.A, -0.49707, 0.5777
1.A, -0.48910, 0.5423
1.A, -0.48113, 0.5096
1.A, -0.47316, 0.4922
1.A, -0.46518, 0.4675
1.A, -0.45721, 0.4335
1.A, -0.44924, 0.3907
1.A, -0.44127, 0.3380
1.A, -0.43334, 0.2933
1.A, -0.42536, 0.2752
1.A, -0.41739, 0.2325
1.A, -0.40942, 0.1604
1.A, -0.40145, 0.1123
1.A, -0.39348, 0.0956
1.A, -0.38550, 0.0569
1.A, -0.37753, -0.0038
1.A, -0.36956, -0.0412
1.A, -0.36159, -0.0793
1.A, -0.35362, -0.1414
1.A, -0.34564, -0.1888
1.A, -0.33767, -0.2275
1.A, -0.32974, -0.2969
1.A, -0.32173, -0.3784
1.A, -0.31380, -0.4511
1.A, -0.30582, -0.5166
1.A, -0.29785, -0.5974
1.A, -0.28988, -0.6801
1.A, -0.28191, -0.7542
1.A, -0.27394, -0.8370
1.A, -0.26596, -0.9265
1.A, -0.25799, -1.0286
1.A, -0.25006, -1.1381
1.A, -0.24205, -1.2449
1.A, -0.23411, -1.3564
1.A, -0.22614, -1.4733
1.A, -0.21817, -1.5781
1.A, -0.21020, -1.6943
1.A, -0.20223, -1.8077
1.A, -0.19425, -1.9266
1.A, -0.18628, -2.0741
1.A, -0.17831, -2.2016
1.A, -0.17034, -2.3298
1.A, -0.16237, -2.4814
1.A, -0.15439, -2.6383
