# all fluid columns: k0z, U1_lab [m/s], U3_lab [m/s], dU_raw [mm/s], dU_raw_se [mm/s], dU_paired [mm/s], dU_paired_se [mm/s], dU_raw_one_plane [mm/s], dU_raw_one_plane_se [mm/s]  (7 seeds)
-3.68184, -0.340758, -0.339589, 1.1691, 0.4790, 0.2579, 0.0195, -2.5034, 4.5079
-3.60668, -0.340713, -0.339721, 0.9919, 0.3905, 0.2999, 0.0249, -2.4742, 3.8501
-3.53384, -0.340721, -0.339799, 0.9214, 0.4234, 0.3065, 0.0325, -2.2150, 3.8706
-3.46323, -0.340641, -0.339888, 0.7531, 0.4763, 0.3207, 0.0416, -1.2564, 3.9819
-3.39478, -0.340531, -0.339941, 0.5907, 0.5085, 0.3372, 0.0418, -0.3620, 4.0457
-3.32841, -0.340425, -0.339968, 0.4576, 0.5079, 0.3523, 0.0418, -0.7189, 4.2230
-3.26406, -0.340351, -0.339978, 0.3731, 0.4886, 0.3599, 0.0421, -1.3725, 4.2971
-3.20165, -0.340280, -0.339969, 0.3106, 0.4712, 0.3826, 0.0445, -1.4723, 4.2156
-3.14112, -0.340178, -0.339941, 0.2367, 0.4689, 0.4230, 0.0508, -1.1317, 4.0350
-3.08238, -0.340071, -0.339924, 0.1473, 0.4648, 0.4594, 0.0547, -0.5793, 3.8324
-3.02538, -0.339946, -0.339912, 0.0338, 0.4480, 0.4965, 0.0566, -0.1990, 3.6003
-2.97005, -0.339808, -0.339899, -0.0913, 0.4222, 0.5360, 0.0599, 0.1402, 3.3963
-2.91633, -0.339690, -0.339886, -0.1966, 0.3912, 0.5747, 0.0588, 0.2055, 3.2217
-2.86415, -0.339609, -0.339863, -0.2547, 0.3667, 0.6181, 0.0579, 0.0935, 3.1277
-2.81345, -0.339559, -0.339826, -0.2672, 0.3588, 0.6574, 0.0600, -0.1755, 3.0084
-2.76417, -0.339531, -0.339781, -0.2508, 0.3588, 0.6971, 0.0641, -0.3741, 2.8659
-2.71626, -0.339508, -0.339737, -0.2289, 0.3557, 0.7362, 0.0676, -0.4808, 2.6950
-2.66966, -0.339484, -0.339697, -0.2127, 0.3516, 0.7675, 0.0767, -0.4887, 2.4820
-2.62432, -0.339464, -0.339666, -0.2019, 0.3465, 0.7851, 0.0870, -0.3451, 2.2865
-2.58017, -0.339456, -0.339637, -0.1805, 0.3381, 0.8026, 0.0951, -0.3005, 2.1737
-2.53718, -0.339447, -0.339604, -0.1569, 0.3265, 0.8234, 0.1001, -0.4201, 2.1541
-2.49530, -0.339428, -0.339565, -0.1366, 0.3120, 0.8444, 0.1009, -0.4124, 2.1258
-2.45447, -0.339405, -0.339519, -0.1136, 0.2991, 0.8680, 0.0986, -0.4128, 2.0923
-2.41465, -0.339381, -0.339470, -0.0892, 0.2883, 0.8998, 0.0951, -0.3683, 2.0553
-2.37580, -0.339357, -0.339416, -0.0591, 0.2767, 0.9450, 0.0876, -0.4473, 1.9980
-2.33788, -0.339347, -0.339361, -0.0137, 0.2627, 0.9978, 0.0752, -0.7137, 1.9278
-2.30084, -0.339358, -0.339310, 0.0486, 0.2460, 1.0436, 0.0656, -0.8850, 1.8435
-2.26465, -0.339381, -0.339262, 0.1200, 0.2301, 1.0854, 0.0632, -0.8342, 1.6968
-2.22926, -0.339409, -0.339211, 0.1975, 0.2170, 1.1290, 0.0694, -0.5909, 1.6048
-2.19465, -0.339442, -0.339154, 0.2882, 0.2100, 1.1749, 0.0785, -0.3290, 1.5921
-2.16077, -0.339485, -0.339089, 0.3956, 0.2102, 1.2187, 0.0868, -0.2199, 1.6253
-2.12760, -0.339532, -0.339022, 0.5101, 0.2139, 1.2590, 0.0924, -0.1748, 1.6653
-2.09510, -0.339578, -0.338951, 0.6269, 0.2173, 1.3018, 0.0944, -0.1336, 1.7117
-2.06324, -0.339620, -0.338878, 0.7421, 0.2200, 1.3450, 0.0936, -0.1610, 1.7586
-2.03199, -0.339659, -0.338805, 0.8532, 0.2223, 1.3856, 0.0919, -0.1564, 1.8280
-2.00132, -0.339696, -0.338732, 0.9636, 0.2278, 1.4296, 0.0889, -0.0920, 1.9149
-1.97121, -0.339732, -0.338659, 1.0727, 0.2357, 1.4754, 0.0858, 0.0295, 1.9708
-1.94163, -0.339767, -0.338590, 1.1771, 0.2431, 1.5178, 0.0839, 0.1556, 2.0356
-1.91255, -0.339800, -0.338527, 1.2734, 0.2504, 1.5572, 0.0842, 0.2509, 2.1145
-1.88396, -0.339829, -0.338468, 1.3612, 0.2589, 1.5961, 0.0877, 0.4062, 2.2017
-1.85582, -0.339856, -0.338411, 1.4457, 0.2677, 1.6354, 0.0929, 0.6467, 2.2503
-1.82813, -0.339881, -0.338356, 1.5250, 0.2758, 1.6717, 0.0978, 0.8842, 2.2776
-1.80084, -0.339903, -0.338304, 1.5988, 0.2846, 1.7051, 0.1005, 1.0733, 2.3134
-1.77396, -0.339917, -0.338253, 1.6641, 0.2954, 1.7372, 0.0999, 1.2740, 2.3679
-1.74745, -0.339920, -0.338203, 1.7167, 0.3067, 1.7679, 0.0968, 1.5326, 2.4425
-1.72130, -0.339918, -0.338158, 1.7607, 0.3166, 1.7956, 0.0924, 1.7872, 2.5301
-1.69549, -0.339914, -0.338116, 1.7982, 0.3261, 1.8186, 0.0892, 1.8854, 2.6222
-1.67001, -0.339909, -0.338078, 1.8304, 0.3370, 1.8374, 0.0863, 1.9214, 2.6984
-1.64483, -0.339905, -0.338044, 1.8609, 0.3486, 1.8548, 0.0825, 1.9801, 2.7310
-1.61996, -0.339904, -0.338013, 1.8906, 0.3599, 1.8710, 0.0795, 2.1637, 2.7384
-1.59536, -0.339904, -0.337987, 1.9169, 0.3700, 1.8850, 0.0767, 2.4647, 2.7480
-1.57102, -0.339906, -0.337966, 1.9396, 0.3796, 1.8966, 0.0748, 2.7700, 2.7786
-1.54694, -0.339908, -0.337947, 1.9611, 0.3893, 1.9078, 0.0750, 3.0232, 2.8183
-1.52310, -0.339911, -0.337930, 1.9806, 0.3990, 1.9203, 0.0776, 3.1843, 2.8511
-1.49949, -0.339909, -0.337917, 1.9920, 0.4080, 1.9330, 0.0816, 3.2410, 2.8434
-1.47610, -0.339901, -0.337906, 1.9944, 0.4162, 1.9437, 0.0861, 3.2298, 2.7914
-1.45291, -0.339888, -0.337899, 1.9888, 0.4241, 1.9499, 0.0906, 3.2284, 2.7221
-1.42992, -0.339874, -0.337896, 1.9782, 0.4317, 1.9522, 0.0945, 3.1538, 2.6305
-1.40711, -0.339862, -0.337893, 1.9686, 0.4380, 1.9516, 0.0980, 2.9657, 2.5215
-1.38448, -0.339853, -0.337893, 1.9600, 0.4434, 1.9480, 0.1014, 2.7490, 2.4160
-1.36203, -0.339846, -0.337895, 1.9512, 0.4490, 1.9399, 0.1048, 2.5083, 2.3524
-1.33973, -0.339841, -0.337897, 1.9438, 0.4551, 1.9303, 0.1087, 2.2930, 2.3378
-1.31758, -0.339838, -0.337897, 1.9418, 0.4620, 1.9227, 0.1132, 2.1598, 2.3528
-1.29557, -0.339840, -0.337895, 1.9449, 0.4685, 1.9186, 0.1179, 2.1134, 2.3798
-1.27371, -0.339845, -0.337893, 1.9518, 0.4738, 1.9170, 0.1224, 2.1412, 2.4085
-1.25197, -0.339853, -0.337894, 1.9587, 0.4785, 1.9150, 0.1273, 2.2220, 2.4442
