# all fluid columns: k0z, U1_lab [m/s], U3_lab [m/s], dU_raw [mm/s], dU_raw_se [mm/s], dU_paired [mm/s], dU_paired_se [mm/s], dU_raw_one_plane [mm/s], dU_raw_one_plane_se [mm/s]  (8 seeds)
-3.68184, -0.340039, -0.339373, 0.6660, 0.8976, 0.3972, 0.0290, NaN, NaN
-3.60668, -0.339885, -0.339508, 0.3769, 0.8372, 0.4320, 0.0276, NaN, NaN
-3.53384, -0.339887, -0.339532, 0.3548, 0.8201, 0.4336, 0.0289, NaN, NaN
-3.46323, -0.339885, -0.339542, 0.3432, 0.8172, 0.4676, 0.0299, NaN, NaN
-3.39478, -0.339866, -0.339515, 0.3512, 0.8016, 0.5225, 0.0307, NaN, NaN
-3.32841, -0.339823, -0.339484, 0.3381, 0.7827, 0.5665, 0.0365, NaN, NaN
-3.26406, -0.339773, -0.339469, 0.3038, 0.7666, 0.5773, 0.0458, NaN, NaN
-3.20165, -0.339733, -0.339444, 0.2892, 0.7595, 0.5898, 0.0517, NaN, NaN
-3.14112, -0.339703, -0.339399, 0.3032, 0.7582, 0.6140, 0.0539, NaN, NaN
-3.08238, -0.339678, -0.339354, 0.3243, 0.7552, 0.6412, 0.0537, NaN, NaN
-3.02538, -0.339654, -0.339314, 0.3402, 0.7437, 0.6758, 0.0576, NaN, NaN
-2.97005, -0.339631, -0.339272, 0.3589, 0.7209, 0.7174, 0.0628, NaN, NaN
-2.91633, -0.339608, -0.339216, 0.3919, 0.6876, 0.7573, 0.0630, NaN, NaN
-2.86415, -0.339588, -0.339155, 0.4330, 0.6502, 0.7958, 0.0591, NaN, NaN
-2.81345, -0.339578, -0.339089, 0.4893, 0.6104, 0.8392, 0.0498, NaN, NaN
-2.76417, -0.339581, -0.339019, 0.5620, 0.5710, 0.8827, 0.0451, NaN, NaN
-2.71626, -0.339593, -0.338946, 0.6476, 0.5302, 0.9234, 0.0433, NaN, NaN
-2.66966, -0.339613, -0.338874, 0.7382, 0.4841, 0.9577, 0.0444, NaN, NaN
